"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"150",397.3081,391,238,0.402,0.0096,0.0737,0.9529,0.9672,9846.3909,9094.5357,-4309.2678,"converged normally"
"152",385.4741,370,259,0.2791,0.0153,0.0713,0.927,0.9518,11018.8463,10193.3134,-4837.6567,"converged normally"
"154",378.0182,355,274,0.1919,0.0222,0.0785,0.922,0.9506,7801.0468,7013.2427,-3232.6214,"converged normally"
"155",377.6215,365,264,0.3133,0.0162,0.0765,0.9358,0.9582,8156.3817,7395.322,-3433.661,"converged normally"
"156",389.6613,376,253,0.3027,0.0164,0.0807,0.9302,0.9532,6817.8333,6082.7988,-2788.3994,"converged normally"
"157",381.0948,370,259,0.3342,0.0144,0.069,0.933,0.9558,8581.1937,7810.2196,-3646.1098,"converged normally"
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"159",392.7494,380,249,0.3151,0.0157,0.0776,0.9399,0.9593,6217.2215,5491.9704,-2496.9852,"converged normally"
"160",372.7314,354,275,0.2367,0.0199,0.0896,0.929,0.9552,8436.3421,7641.4961,-3545.748,"converged normally"
"162",823.1061,268,361,0,0.1117,0.085,0.215,0.625,6648.448,5525.0204,-2401.5102,"converged normally"
"164",394.9454,379,250,0.2758,0.0163,0.0728,0.9271,0.9507,8714.3441,7948.6953,-3724.3477,"converged normally"
"165",1521.6871,284,345,0,0.2213,0.1036,-0.3192,0.3322,4679.0177,3820.4382,-1565.2191,"converged normally"
"166",1195.957,297,332,0,0.1844,0.0966,-0.214,0.3573,4176.5396,3350.3123,-1343.1562,"converged normally"
"167",1388.2352,295,334,0,0.2018,0.0921,-0.2176,0.3597,5273.3754,4434.7483,-1883.3741,"converged normally"
"168",343.9032,315,314,0.1262,0.0308,0.0823,0.913,0.9512,5526.6834,4718.2242,-2045.1121,"converged normally"
"169",385.1453,363,266,0.2032,0.0216,0.0879,0.9303,0.9549,9181.5168,8416.7143,-3942.3571,"converged normally"
"17",337.1854,319,310,0.2318,0.025,0.0893,0.913,0.9505,4528.2271,3749.8607,-1564.9303,"converged normally"
"170",400.4949,387,242,0.3073,0.0147,0.0749,0.9415,0.9596,10786.6947,10040.9949,-4778.4974,"converged normally"
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"176",2609.366,376,253,0,0.2583,0.1548,-0.0782,0.2774,2395.5608,1765.9358,-629.9679,"converged normally"
"177",986.8956,309,320,0,0.157,0.0973,0.2285,0.5751,4572.0618,3775.6982,-1567.8491,"converged normally"
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"18",383.8741,363,266,0.2162,0.0209,0.0767,0.9239,0.9508,6765.1759,5998.3505,-2733.1753,"converged normally"
